path	review_signals	signals_count
apps/backend/src/app/app.test.ts	"5:getSessionMock: vi.fn(), | 6:authHandlerMock: vi.fn(), | 7:registerLangsmithRoutesMock: vi.fn(), | 10:vi.mock(""../auth/config.js"", () => ({ | 17:vi.mock(""../routes/langsmith.js"", () => ({ | 21:vi.mock(""../routes/v1/index.js"", () => ({ | 49:vi.mock(""../routes/openapi.js"", () => ({ | 50:registerOpenapiRoutes: vi.fn(), | 53:vi.mock(""../routes/mcp.js"", () => ({ | 54:registerMcpRoutes: vi.fn(),"	15
apps/backend/src/auth/config.test.ts		0
apps/backend/src/auth/oauth-gateway-request.test.ts		0
apps/backend/src/auth/verification-email-url.test.ts		0
apps/backend/src/auth/withAuth.test.ts	"15:getSessionMock: vi.fn(), | 16:authHandlerMock: vi.fn(), | 17:jwtVerifyMock: vi.fn(), | 18:createLocalJWKSetMock: vi.fn(), | 19:getSystemDbMock: vi.fn(), | 20:withOrgDbContextMock: vi.fn(), | 26:vi.mock(""jose"", async (importOriginal) => { | 35:vi.mock(""./config.js"", () => ({ | 44:vi.mock(""../db/client.js"", () => ({ | 91:select: vi.fn((fields?: unknown) => {"	22
apps/backend/src/db/client.org-context.test.ts	"3:const executeMock = vi.fn() | 4:const transactionMock = vi.fn( | 9:vi.mock(""pg"", () => ({ | 26:vi.mock(""drizzle-orm/node-postgres"", () => ({ | 37:vi.mock(""./transientDbRetry.js"", () => ({"	5
apps/backend/src/db/gateway-guards.test.ts	"3:const executeMock = vi.fn() | 4:const transactionMock = vi.fn( | 9:vi.mock(""pg"", () => ({ | 26:vi.mock(""drizzle-orm/node-postgres"", () => ({ | 37:vi.mock(""./transientDbRetry.js"", () => ({ | 43:vi.mock(""../openworkflow/client.js"", () => ({ | 44:runWorkflowWithWorkerWake: vi.fn(), | 47:vi.mock(""../openworkflow/workflows/workspace-index.js"", () => ({"	8
apps/backend/src/db/get-org-db-audit.test.ts	"1:import { readdirSync, readFileSync, statSync } from ""node:fs"" | 33:const text = readFileSync(file, ""utf8"") | 61:const text = readFileSync(file, ""utf8"") | 96:const workspaces = readFileSync(join(SRC, ""models/workspaces.ts""), ""utf8"") | 97:const sandboxes = readFileSync("	5
apps/backend/src/db/migrate-checkpoints.test.ts	"4:const setup = vi.fn() | 5:const end = vi.fn() | 9:vi.mock(""pg"", () => ({ | 17:vi.mock(""@langchain/langgraph-checkpoint-postgres"", () => ({"	4
apps/backend/src/db/migrate-openworkflow.test.ts	"4:const stop = vi.fn() | 5:const connect = vi.fn(async () => ({ stop })) | 9:vi.mock(""openworkflow/postgres"", () => ({"	3
