story	status	duration_ms	oracle	failure
Components/Workspaces/Pane Files smoke-test	passed	385	smoke	
Components/Workspaces/Pane Files Loading smoke-test	passed	56	smoke	
Components/Workspaces/Pane Files Empty smoke-test	passed	54	smoke	
Components/Workspaces/Pane File Preview smoke-test	passed	59	smoke	
Components/Workspaces/Pane File Preview Loading smoke-test	passed	53	smoke	
Components/Workspaces/Pane File Preview Long smoke-test	passed	53	smoke	
Components/Workspaces/Pane File Diff smoke-test	passed	59	smoke	
Components/Workspaces/Pane Read Only smoke-test	passed	50	smoke	
Components/Workspaces/Pane Tree Collapsed smoke-test	passed	55	smoke	
Components/Workspaces/Pane Graph smoke-test	passed	50	smoke	
Components/Workspaces/Pane Graph Loading smoke-test	passed	45	smoke	
Components/Workspaces/Pane Settings smoke-test	passed	99	smoke	
Components/Workspaces/Pane Maximized smoke-test	passed	57	smoke	
Components/Workspaces/Pane Conversation Writable smoke-test	passed	65	smoke	
Components/Workspaces/Pane Conversation Sandbox Files play-test	failed	1099	play	"  Unable to find an element with the text: e2e-session-branch-note.md. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""flex h-svh min-h-0 bg-zinc-950""     >       <div         class=""flex h-full min-w-0 flex-1 flex-col p-4""       >         <p           class=""text-sm text-muted-foreground""         >    "
Components/Workspaces/Pane Conversation Read Only play-test	failed	1024	play	"  Unable to find an element with the text: AGENTS.md. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""flex h-svh min-h-0 bg-zinc-950""     >       <div         class=""flex h-full min-w-0 flex-1 flex-col p-4""       >         <p           class=""text-sm text-muted-foreground""         >           Conversati"
Components/Workspaces/Pane Diff Tab smoke-test	passed	42	smoke	
Components/Workspaces/Pane Sandbox Loading play-test	passed	45	play	
Components/Workspaces/Pane Cached Sandbox While 409 play-test	failed	1343	play	"  Unable to find an element with the text: cached-note.md. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""flex h-svh min-h-0 bg-zinc-950""     >       <div         class=""flex h-full min-w-0 flex-1 flex-col p-4""       >         <p           class=""text-sm text-muted-foreground""         >           Conve"
Components/Workspaces/Pane Conversation Sandbox Live Poll play-test	failed	1449	play	"  Unable to find an element with the text: AGENTS.md. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class=""flex h-svh min-h-0 bg-zinc-950""     >       <div         class=""flex h-full min-w-0 flex-1 flex-col p-4""       >         <p           class=""text-sm text-muted-foreground""         >           Conversati"
Pages/Workspaces Loading play-test	passed	353	play	
Pages/Workspaces Not Found smoke-test	passed	68	smoke	
Pages/Workspaces Load Error smoke-test	passed	61	smoke	
Pages/Workspaces Hydrating smoke-test	passed	66	smoke	
Pages/Workspaces Waiting For Tip smoke-test	passed	64	smoke	
Pages/Workspaces Prepare Failed smoke-test	passed	57	smoke	
Pages/Workspaces Compose smoke-test	passed	65	smoke	
Pages/Workspaces Conversation smoke-test	passed	61	smoke	
Pages/Workspaces Conversation Loading play-test	failed	31	play	"  expect(element).not.toBeInTheDocument()  expected document not to contain element, found <span   class=""sr-only"" >   Loading workspace </span> instead   --------------------------------------------------  Browser logs:  [1m[34mlog[39m[22m: Request, {""url"":""http://127.0.0.1:6016/.auth/api/v1/auth/organization/list"",""method"":""GET"",""headers"":{""accept"":""*/*""},""body"":""""}  [1m[34mlog[39m[22m: Handler:, {""kind"":""request"",""options"":{},""info"":{""header"":""GET */.auth/api/v1/auth/organization/list"",""path"":""*/.auth/api/v1/auth/organization/list"",""method"":""GET"",""callFrame"":""http://127.0.0.1:6016/a"
Pages/Workspaces Conversation Nav Is Chat Only play-test	passed	31	play	
Pages/Workspaces Conversation Keeps Explicit Pane Search play-test	failed	1396	play	"  Unable to find an element with the text: Ask about this Workspace.. This could be because the text is broken up by multiple elements. In this case, you can provide a function for your text matcher to make your matcher more flexible.  Ignored nodes: comments, script, style <div   id=""storybook-root"" >   <div     class=""min-h-screen bg-background font-sans text-foreground antialiased""   >     <div       class="" relative flex min-h-screen min-w-0 bg-zinc-950 text-zinc-100""     >       <div         aria-hidden=""true""         class=""pointer-events-none fixed inset-0 z-0 opacity-50""         style="
Pages/Workspaces Conversation Missing smoke-test	passed	671	smoke	
Pages/Workspaces Files Pane smoke-test	passed	66	smoke	
Pages/Workspaces Graph Pane smoke-test	passed	72	smoke	
Pages/Workspaces Settings Pane smoke-test	passed	69	smoke	
Pages/Workspaces Read Only smoke-test	passed	66	smoke	
Components/Connections/Atlassian/SetupWizard 01 / Loading smoke-test	passed	237	smoke	
Components/Connections/Atlassian/SetupWizard 02 / Status error smoke-test	passed	47	smoke	
Components/Connections/Atlassian/SetupWizard 03 / Register Atlassian OAuth app (self-hosted) smoke-test	passed	38	smoke	
Components/Connections/Atlassian/SetupWizard 03b / Link Atlassian (3LO saved — sign in) smoke-test	passed	48	smoke	
Components/Connections/Atlassian/SetupWizard 03c / Link Atlassian (global env OAuth only) smoke-test	passed	39	smoke	
Components/Connections/Atlassian/SetupWizard 04 / Install Forge smoke-test	passed	37	smoke	
Components/Connections/Atlassian/SetupWizard 05 / Wait for install smoke-test	passed	38	smoke	
Components/Connections/Atlassian/SetupWizard 06 / Link GitHub smoke-test	passed	38	smoke	
Components/Connections/Atlassian/SetupWizard 07 / Select sync target smoke-test	passed	46	smoke	
